idx,name_roi,stiffness (N/micron),mean VM stress (N/cm2),DA,Radius a,Radius b,Radius c,m00,m01,m02,m10,m11,m12,m20,m21,m22,D1,D2,D3,Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),Euler char. (χ),Corr. Euler (χ + Δχ),Connectivity,Conn.D (µm⁻³),BV (micron³),TV (micron³),BV/TV,name_bone
319,Segmentation-grayscale-6_751-68983-L45_2,18.78873829,4.409083967,0.491818022,15.22280762,15.77700234,21.35428966,-0.679260956,0.712246219,0.176945973,0.587048702,0.672008893,-0.451417622,-0.440429762,-0.202754462,-0.874592621,0.002192955,0.004017455,0.004315295,411.2271758,175.9307615,1395.505493,1017.870772,503.4381356,4557.316895,-6162,-6364,6365,1.75E-09,1.01E+12,3.65E+12,0.277476481,Segmentation-grayscale_751-68983-L45_2
343,Segmentation-grayscale-7_751-68983-L45_2,20.07917055,4.088954106,0.428411168,14.42565323,14.81327307,19.08067001,0.493463693,-0.868611398,-0.044808731,0.726106435,0.43977206,-0.528554615,-0.478814191,-0.228286604,-0.84771587,0.00274671,0.004557198,0.004805394,365.5550334,100.1986677,1341.66394,889.2476914,320.950455,2046.855713,-7961,-8247.625,8248.625,2.26E-09,9.94E+11,3.65E+12,0.272701333,Segmentation-grayscale_751-68983-L45_2
678,Segmentation-grayscale-8_751-68983-L45_2,18.42665352,4.249319457,0.433343633,14.4731368,15.14523323,19.22661281,-0.553699983,0.826081206,0.104910295,0.671264486,0.517342282,-0.530811599,-0.492768017,-0.223487818,-0.840971389,0.002705169,0.004359614,0.004773915,365.5659116,95.01138336,1056.327637,911.7880384,342.5037975,2335.127197,-7726,-8002.25,8003.25,2.20E-09,9.90E+11,3.65E+12,0.271515185,Segmentation-grayscale_751-68983-L45_2
589,Segmentation-grayscale-9_751-68983-L45_2,18.57469742,4.379604224,0.471035898,14.42545705,14.7637893,19.83428193,-0.650889603,0.744056186,0.150741886,0.617249637,0.634271581,-0.465513101,-0.441979197,-0.209952263,-0.872109189,0.00254195,0.004587798,0.004805525,370.0447562,87.24513179,1133.249756,917.8371908,358.5454096,2975.388428,-7536,-7811.625,7812.625,2.14E-09,1.02E+12,3.65E+12,0.279300185,Segmentation-grayscale_751-68983-L45_2
213,Segmentation-grayscale-1_752-67011-L23,7.794074553,6.616879326,0.433609128,17.36630626,17.74562431,23.07540505,0.740360559,-0.291745907,-0.605599347,0.615093617,0.657431144,0.435251805,0.271156939,-0.694743562,0.666187134,0.001878025,0.003175539,0.003315775,378.7935818,111.6180713,945.9215698,1072.367141,618.7471507,5768.434082,-5047,-5391.25,5392.25,1.48E-09,7.93E+11,3.65E+12,0.217644519,Segmentation-grayscale_752-67011-L23
630,Segmentation-grayscale-10_752-67011-L23,5.894023495,7.675984484,0.347505777,17.56848473,18.42012708,21.74933436,0.55023809,-0.456636191,-0.699086142,-0.79524666,-0.541851403,-0.271992292,0.254599283,-0.705606438,0.661285687,0.002114015,0.002947235,0.003239898,376.298371,133.5724413,1747.208252,1504.6779,2089.289705,10229.13379,-5462,-5792.875,5793.875,1.59E-09,7.60E+11,3.65E+12,0.208493704,Segmentation-grayscale_752-67011-L23
416,Segmentation-grayscale-2_752-67011-L23,7.807638375,6.764925869,0.449826411,17.66338785,17.95026535,23.81354963,0.824985255,-0.191584049,-0.531690588,0.501531896,0.681840704,0.532502593,0.260509282,-0.705966576,0.658594038,0.001763404,0.003103546,0.003205177,379.9823952,116.8313687,923.3964233,1248.220518,1188.521593,7463.019043,-4949,-5255.375,5256.375,1.44E-09,7.85E+11,3.65E+12,0.215362519,Segmentation-grayscale_752-67011-L23
53,Segmentation-grayscale-3_752-67011-L23,5.590479308,7.664377856,0.352228262,16.94966698,18.04945703,21.05960261,0.480416917,-0.534500961,-0.695347617,-0.837350615,-0.515341105,-0.182393786,0.260851555,-0.669874815,0.695143294,0.002254757,0.003069529,0.003480789,389.6369561,177.9659364,2057.115967,1180.803709,1134.310152,7860.09375,-5550,-5864.625,5865.625,1.61E-09,8.16E+11,3.65E+12,0.223823519,Segmentation-grayscale_752-67011-L23
237,Segmentation-grayscale-4_752-67011-L23,9.186303148,6.099655603,0.470363384,17.21703346,17.61853463,23.65752582,0.760561908,-0.253725554,-0.597636117,0.591089494,0.651422402,0.475670121,0.26862389,-0.715033004,0.645421574,0.00178674,0.003221517,0.00337352,379.5443997,108.1619695,923.3964233,1057.687789,456.30983,4449.796387,-4912,-5247,5248,1.44E-09,8.13E+11,3.65E+12,0.222933259,Segmentation-grayscale_752-67011-L23
104,Segmentation-grayscale-5_752-67011-L23,8.192154685,6.222223964,0.516684971,18.27552867,18.64851716,26.28783372,0.887999686,0.454455212,0.070192722,-0.343270956,0.55354992,0.758780295,0.305976484,-0.697891787,0.64755343,0.001447073,0.002875487,0.002994057,416.9319911,166.465522,1285.56958,1297.09557,1130.392587,7709.320801,-3816,-4054.5,4055.5,1.11E-09,8.15E+11,3.65E+12,0.223695741,Segmentation-grayscale_752-67011-L23
361,Segmentation-grayscale-6_752-67011-L23,8.261780516,6.55901328,0.514171162,17.54289857,17.86411882,25.16863759,0.946065609,0.041625807,-0.321289831,0.205051369,0.690862587,0.693298509,0.250826233,-0.721786796,0.645065905,0.001578631,0.003133551,0.003249356,380.9194833,133.7459871,1231.19519,1060.901821,364.2499194,3393.55127,-4374,-4678.625,4679.625,1.28E-09,7.87E+11,3.65E+12,0.215789333,Segmentation-grayscale_752-67011-L23
329,Segmentation-grayscale-7_752-67011-L23,4.106269019,9.08908705,0.325358244,17.61912663,18.69933029,21.45101111,0.467321431,-0.540830129,-0.699366465,-0.858554507,-0.46636431,-0.213045746,0.210938,-0.700005073,0.682274181,0.002173224,0.002859881,0.003221301,382.601844,183.185135,2092.629395,1158.259707,852.5080296,6995.608887,-4737,-5022.125,5023.125,1.38E-09,7.79E+11,3.65E+12,0.213776593,Segmentation-grayscale_752-67011-L23
20,Segmentation-grayscale-9_752-67011-L23,7.888497042,6.565921256,0.425901023,17.16456106,17.54342883,22.65370889,-0.643260751,0.389799681,0.65899303,-0.716760136,-0.609205355,-0.3392989,0.26920348,-0.690597599,0.671270767,0.001948594,0.00324916,0.003394178,386.4107299,113.9200421,1031.113159,1111.559687,808.9024186,6503.552246,-5247,-5581.5,5582.5,1.53E-09,8.25E+11,3.65E+12,0.226193333,Segmentation-grayscale_752-67011-L23
657,Segmentation-grayscale-1_752-67011-L23_2,15.92124851,4.758816231,0.533027326,16.5886346,17.57308119,24.27531685,0.817939102,-0.510235712,-0.26577273,-0.41710435,-0.844118488,0.33687971,-0.396231733,-0.164692125,-0.903259053,0.001696954,0.003238204,0.003633948,384.0292446,140.7159932,1992.124023,1003.827038,319.1347805,2538.174316,-4775,-5084.125,5085.125,1.40E-09,8.23E+11,3.65E+12,0.225729037,Segmentation-grayscale_752-67011-L23_2
575,Segmentation-grayscale-10_752-67011-L23_2,13.98310873,5.094265906,0.516724626,17.4060312,18.53744712,25.03816084,0.840588407,-0.451328339,-0.299522719,-0.349654701,-0.874427803,0.336329613,-0.413706079,-0.177985247,-0.892842949,0.001595127,0.002910048,0.003300658,412.9006557,236.466337,2087.593018,1035.28922,327.0982588,2440.921875,-4346,-4686.25,4687.25,1.29E-09,7.80E+11,3.65E+12,0.214030889,Segmentation-grayscale_752-67011-L23_2
175,Segmentation-grayscale-2_752-67011-L23_2,17.16671006,4.586687723,0.556815788,17.07022023,17.86852176,25.64170997,0.889919971,-0.305710608,-0.338501801,-0.21604235,-0.936128361,0.27746963,-0.401706545,-0.17379504,-0.899125762,0.001520919,0.003132007,0.003431798,445.5925777,274.7886209,2134.959473,1096.741936,629.5168963,6605.53418,-4220,-4494.75,4495.75,1.23E-09,8.69E+11,3.65E+12,0.238386296,Segmentation-grayscale_752-67011-L23_2
303,Segmentation-grayscale-3_752-67011-L23_2,16.15932305,4.812618702,0.567821177,16.60172069,17.32634009,25.25348746,0.899310409,-0.288185444,-0.32892239,-0.209592945,-0.944171761,0.254185922,-0.383811914,-0.159652233,-0.909505129,0.001568041,0.00333109,0.003628222,377.2294691,114.62167,1380.336548,1112.555993,837.6154761,7525.526367,-4472,-4764.5,4765.5,1.31E-09,8.34E+11,3.65E+12,0.228689741,Segmentation-grayscale_752-67011-L23_2
363,Segmentation-grayscale-4_752-67011-L23_2,15.62653979,4.967412354,0.580705843,16.49891562,17.24768315,25.47979892,0.921304791,-0.027492106,-0.387868105,-0.037095872,0.986733463,-0.158053691,0.387067667,0.160003928,0.908062423,0.00154031,0.003361541,0.003673577,380.4191106,124.2760128,1454.600464,1272.90256,1448.399493,9415.71582,-4485,-4743,4744,1.30E-09,8.44E+11,3.65E+12,0.231473778,Segmentation-grayscale_752-67011-L23_2
556,Segmentation-grayscale-5_752-67011-L23_2,13.76527292,5.399213644,0.450040634,16.30625564,17.25640287,21.98816289,0.863112616,-0.393322972,-0.316754878,-0.304004936,-0.905510703,0.296025953,-0.40325874,-0.159208688,-0.901129836,0.002068341,0.003358145,0.003760898,369.5485211,96.83175273,906.1350708,987.6939034,389.4656752,3640.479248,-5632,-5937.375,5938.375,1.63E-09,8.21E+11,3.65E+12,0.225295741,Segmentation-grayscale_752-67011-L23_2
310,Segmentation-grayscale-6_752-67011-L23_2,12.42034157,5.385560742,0.34049748,16.50710547,17.26422841,20.32650431,0.862847297,-0.332254198,-0.380922157,-0.216510098,-0.923914891,0.315443579,-0.456747107,-0.189706146,-0.869133855,0.00242033,0.003355101,0.003669933,376.4382613,113.0858504,934.7269287,1127.344816,938.544009,6577.586914,-6023,-6292.25,6293.25,1.73E-09,8.48E+11,3.65E+12,0.232613556,Segmentation-grayscale_752-67011-L23_2
442,Segmentation-grayscale-7_752-67011-L23_2,13.31518516,5.257245042,0.47404938,16.13157022,17.09710459,22.24355292,0.856948219,-0.419094007,-0.299999939,-0.335739283,-0.895545717,0.292022266,-0.391048442,-0.149526196,-0.908142628,0.002021118,0.003421014,0.003842791,370.6922766,97.13988692,894.442627,987.5742823,402.7208588,3821.061035,-5614,-5902.25,5903.25,1.62E-09,8.33E+11,3.65E+12,0.228648222,Segmentation-grayscale_752-67011-L23_2
114,Segmentation-grayscale-8_752-67011-L23_2,16.18252865,4.800775768,0.60213145,16.92603232,17.68547743,26.8339966,0.914447222,0.038150791,-0.402902959,0.102102896,-0.985090851,0.13845943,-0.391613682,-0.1677514,-0.904708899,0.001388767,0.003197175,0.003490516,382.6715472,120.2206683,994.7401123,1485.008261,1964.513704,10678.24805,-4100,-4356.625,4357.625,1.20E-09,8.31E+11,3.65E+12,0.228063333,Segmentation-grayscale_752-67011-L23_2
515,Segmentation-grayscale-9_752-67011-L23_2,15.19572482,5.023700532,0.516569938,16.10444378,16.89631671,23.16215177,0.87883305,-0.368573996,-0.302994521,-0.28798904,-0.916077558,0.279041611,-0.380413962,-0.157971889,-0.911224506,0.001863984,0.003502805,0.003855747,374.7931536,108.8718945,1105.031494,996.5937118,414.7909665,4926.918457,-5241,-5527.625,5528.625,1.52E-09,8.51E+11,3.65E+12,0.233429481,Segmentation-grayscale_752-67011-L23_2
506,Segmentation-grayscale-1_754-68364-L23,7.991351813,6.536452877,0.323777746,22.0088059,23.47127843,26.76404497,0.939016901,0.342477799,-0.030922768,0.342489041,-0.939507994,-0.005097595,-0.030798001,-0.005803981,-0.999508778,0.001396036,0.001815208,0.002064463,462.2427303,237.0293388,1741.173096,1520.455976,1208.273994,5257.666992,-3318,-3600.5,3601.5,9.88E-10,6.74E+11,3.65E+12,0.184852667,Segmentation-grayscale_754-68364-L23
39,Segmentation-grayscale-10_754-68364-L23,11.52170247,6.003255976,0.45449129,18.66266864,19.67973273,25.26811824,0.966110289,0.256062215,-0.032604483,0.256272721,-0.966601589,0.002379081,-0.030906353,-0.010654094,-0.999465501,0.001566225,0.002582032,0.002871128,415.4395498,194.052656,1479.712524,1044.888445,340.053354,2874.620361,-4380,-4734,4735,1.30E-09,7.18E+11,3.65E+12,0.196927704,Segmentation-grayscale_754-68364-L23
24,Segmentation-grayscale-2_754-68364-L23,8.796401329,6.497960204,0.346880533,20.62139979,21.75192412,25.51654255,0.95740306,0.286367106,-0.037057529,0.287082836,-0.957778942,0.015586618,-0.031029426,-0.025561256,-0.999191572,0.001535877,0.002113512,0.002351601,443.2582747,201.1358799,1235.462769,1196.434876,637.7215984,3933.728271,-3690,-3976.375,3977.375,1.09E-09,7.08E+11,3.65E+12,0.194169444,Segmentation-grayscale_754-68364-L23
390,Segmentation-grayscale-4_754-68364-L23,12.37938361,5.181528758,0.240208839,26.39572663,28.53866307,30.28213584,0.909090861,0.416499788,0.009040641,0.415595013,-0.90518394,-0.089010227,-0.028889297,0.084675629,-0.995989682,0.001090503,0.001227814,0.001435267,488.706592,256.7395764,1618.994507,2943.19986,2812.772566,8469.285156,-2902,-3156.75,3157.75,8.66E-10,5.95E+11,3.65E+12,0.163205704,Segmentation-grayscale_754-68364-L23
254,Segmentation-grayscale-5_754-68364-L23,9.339318525,6.153486808,0.276662624,20.1122962,21.88106919,23.64782502,0.819681628,0.571204471,0.042982325,0.572502904,-0.814425298,-0.094614265,-0.019038198,0.10216108,-0.994585673,0.001788206,0.002088637,0.002472161,482.481978,266.5224046,1791.824951,1534.910702,1272.351236,6269.499512,-4362,-4590.75,4591.75,1.26E-09,7.98E+11,3.65E+12,0.218793852,Segmentation-grayscale_754-68364-L23
145,Segmentation-grayscale-6_754-68364-L23,8.6721521,6.437869724,0.326725475,21.34902693,22.52015076,26.01848434,0.943694893,0.328984913,-0.03476889,0.329635529,-0.94399142,0.014853209,-0.027935052,-0.025477959,-0.999284998,0.001477189,0.001971775,0.002194036,444.5659892,201.3667786,1213.974854,1361.893496,959.4147376,4834.172852,-3522,-3802.625,3803.625,1.04E-09,6.86E+11,3.65E+12,0.188321481,Segmentation-grayscale_754-68364-L23
569,Segmentation-grayscale-1_754-68364-L23_2,7.76046776,6.871221094,0.34309306,18.8705928,21.02407634,23.2827148,0.989667993,0.069969488,-0.12514605,0.086069658,-0.987999358,0.128254758,-0.114670298,-0.137700907,-0.983813592,0.00184473,0.002262383,0.002808206,435.9378465,205.1573064,1333.7948,1346.233725,988.9982986,5355.856445,-4457,-4688.875,4689.875,1.29E-09,7.87E+11,3.65E+12,0.215822889,Segmentation-grayscale_754-68364-L23_2
652,Segmentation-grayscale-10_754-68364-L23_2,13.6721173,5.292107719,0.414949047,18.30068935,19.81327684,23.92602783,0.981575374,0.123764634,-0.145575065,0.141226994,-0.983105195,0.116443602,-0.128704003,-0.134857301,-0.982470757,0.001746863,0.002547343,0.00298583,406.0421976,195.1549687,1579.500854,1076.725672,470.2611018,3512.445068,-4845,-5197.625,5198.625,1.43E-09,7.18E+11,3.65E+12,0.197024,Segmentation-grayscale_754-68364-L23_2
212,Segmentation-grayscale-2_754-68364-L23_2,11.11123137,6.071208428,0.392539002,19.27214973,20.96592661,24.72697338,0.985858489,0.109090306,-0.127209845,0.126250229,-0.982670158,0.135721189,-0.110199452,-0.149862158,-0.982546393,0.001635528,0.00227495,0.002692401,441.2570028,248.9868081,1820.962524,1096.546785,456.8518368,3593.91626,-4199,-4497.5,4498.5,1.23E-09,7.09E+11,3.65E+12,0.194427222,Segmentation-grayscale_754-68364-L23_2
