idx,name_roi,stiffness (N/micron),mean VM stress (N/cm2),DA,Radius a,Radius b,Radius c,m00,m01,m02,m10,m11,m12,m20,m21,m22,D1,D2,D3,Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),Euler char. (χ),Corr. Euler (χ + Δχ),Connectivity,Conn.D (µm⁻³),BV (micron³),TV (micron³),BV/TV,name_bone
588,Segmentation-grayscale-9_131-204,15.67520243,5.134913433,0.420334941,15.83002555,16.68697685,20.79184622,-0.626986906,0.754948561,0.192198051,0.731774226,0.655368221,-0.187080134,-0.267196373,0.023348786,-0.963359192,0.002313204,0.003591242,0.003990587,373.2322011,137.6415813,1542.410278,958.4680723,369.7507105,2531.945557,-7073,-7377.625,7378.625,2.02E-09,8.45E+11,3.65E+12,0.231712852,Segmentation-grayscale_131-204
488,Segmentation-grayscale-1_131-204_2,18.40479905,4.556994616,0.393674654,16.37457329,16.87110493,21.0289278,-0.176967668,0.96816997,0.177000997,0.983331792,0.166301613,0.073500749,-0.041725666,-0.187057964,0.981462321,0.002261339,0.003513281,0.003729581,391.1487905,149.5450026,1525.25293,994.7123074,429.2433405,2809.805908,-6680,-6988.125,6989.125,1.92E-09,8.49E+11,3.65E+12,0.232850185,Segmentation-grayscale_131-204_2
10,Segmentation-grayscale-10_131-204_2,21.98783675,4.000947027,0.412499295,16.48231297,16.75226221,21.50373802,-0.145863159,0.973558353,0.175806915,0.987879485,0.133799039,0.078688888,-0.053085428,-0.185153854,0.981274675,0.002162579,0.003563306,0.003680982,376.9684305,116.076841,1243.954224,994.073466,442.9048226,2867.287354,-6422,-6810.25,6811.25,1.87E-09,8.35E+11,3.65E+12,0.229080889,Segmentation-grayscale_131-204_2
63,Segmentation-grayscale-2_131-204_2,20.2762031,4.32650914,0.410029579,16.560893,17.05384325,21.56098671,-0.185752153,0.967798819,0.169886972,0.981927277,0.176449451,0.068442776,-0.036262375,-0.179530045,0.983083925,0.002151111,0.003438393,0.003646133,384.9947739,139.0507686,1838.223022,1004.787812,437.0736342,3271.946533,-6329,-6680.375,6681.375,1.83E-09,8.32E+11,3.65E+12,0.228377407,Segmentation-grayscale_131-204_2
374,Segmentation-grayscale-3_131-204_2,22.36897074,4.144603252,0.416004823,15.97831595,16.39109081,20.90866838,0.495636817,-0.85953701,-0.124660635,0.867806051,0.484237554,0.111474877,0.035451422,0.163432306,-0.985917379,0.002287427,0.003722068,0.003916859,374.9088529,105.3936312,994.7401123,939.8973122,328.1573128,2558.826904,-6646,-6983.125,6984.125,1.92E-09,8.57E+11,3.65E+12,0.235118852,Segmentation-grayscale_131-204_2
314,Segmentation-grayscale-4_131-204_2,20.3458193,4.160503339,0.401089816,16.13244587,16.48480953,20.84583843,-0.247363535,0.95391721,0.169862409,0.967390811,0.2332933,0.098636988,-0.054463759,-0.188722528,0.980518998,0.002301237,0.003679867,0.003842373,379.5770327,125.2801431,1644.796753,991.2154471,456.0151992,2880.108643,-6951,-7296.125,7297.125,2.00E-09,8.58E+11,3.65E+12,0.235505926,Segmentation-grayscale_131-204_2
150,Segmentation-grayscale-5_131-204_2,15.71420644,4.404121106,0.428499697,17.72359684,18.28247036,23.44464331,-0.127160377,-0.977164407,-0.170235013,0.990749475,-0.133330342,0.025268527,0.047388998,0.165447094,-0.98507946,0.001819335,0.002991784,0.003183437,391.517461,150.3311567,1880.682007,1080.088537,471.9842671,2989.506592,-5311,-5687.375,5688.375,1.56E-09,7.82E+11,3.65E+12,0.214428963,Segmentation-grayscale_131-204_2
267,Segmentation-grayscale-6_131-204_2,22.20482505,4.160049468,0.408343666,15.54356583,15.92763217,20.20765403,0.471797423,-0.87220278,-0.129110427,0.880645263,0.458965839,0.117534162,0.043256347,0.169152801,-0.984640147,0.002448884,0.003941827,0.004139031,380.9317568,116.9463097,1095.463989,906.9008051,310.0706146,2481.553223,-7132,-7397.75,7398.75,2.03E-09,8.91E+11,3.65E+12,0.244336185,Segmentation-grayscale_131-204_2
209,Segmentation-grayscale-7_131-204_2,18.28516002,4.548771822,0.418234693,17.32630912,17.87783944,22.71601511,-0.078911531,0.982355595,0.169559592,0.996361904,0.072229524,0.045231095,-0.032185811,-0.172511973,0.984481433,0.001937919,0.003128743,0.003331102,387.753358,142.5764984,1313.916138,1048.990531,438.5293845,2966.530518,-5661,-6037.5,6038.5,1.66E-09,7.92E+11,3.65E+12,0.217186074,Segmentation-grayscale_131-204_2
208,Segmentation-grayscale-8_131-204_2,23.1188116,3.952438281,0.406040471,15.82266759,16.10725592,20.53058277,-0.175756561,0.970242755,0.166549173,0.982518513,0.162338048,0.091124799,-0.061375909,-0.179653428,0.981813447,0.002372452,0.003854401,0.003994299,378.0066454,116.3229601,1109.784546,954.4213242,420.8130431,2977.157227,-7104,-7413,7414,2.03E-09,8.74E+11,3.65E+12,0.239815296,Segmentation-grayscale_131-204_2
