idx,name_roi,min_angle_mil,inter_angle_mil,main_angle_mil,min eigenvalues_mil,inter eigenvalues_mil,main_eigenvalues_mil,main_angle_gst,inter_angle_gst,min_angle_gst,main_eigenvalues_gst,inter eigenvalues_gst,min eigenvalues_gst
29,Segmentation-grayscale-2_1221-07131-L45_2,84.86116929,63.40968955,27.16030457,0.002198215,0.003423744,0.004051847,74.66098147,58.15763054,32.32953623,834192.875,755356.1875,537513.1875
491,Segmentation-grayscale-3_1221-07131-L45_2,88.38334957,75.15996448,14.93187571,0.001816091,0.002943087,0.003615539,74.66098147,70.19369968,19.81047125,784149.8125,690723.125,495492.7813
655,Segmentation-grayscale-4_1221-07131-L45_2,89.68518687,58.16510671,31.83682322,0.002468734,0.003542307,0.004120788,74.66098147,54.27143614,35.99349718,839413.6875,761602,575958.375
307,Segmentation-grayscale-5_1221-07131-L45_2,89.2830353,67.37698163,22.63564868,0.001664808,0.00296117,0.003378007,74.66098147,62.53118238,27.48531785,768015.9375,703247.875,464713.4063
468,Segmentation-grayscale-6_1221-07131-L45_2,89.80963259,74.60466525,15.3965703,0.002091879,0.003187166,0.003930361,74.66098147,70.40679136,19.69275193,810540.5,719202.8125,535069.9375
666,Segmentation-grayscale-7_1221-07131-L45_2,75.42887197,87.39997328,14.81143944,0.001695765,0.003224132,0.003418159,74.66098147,89.19052768,18.68052334,769822.625,724495.8125,474835.0938
550,Segmentation-grayscale-8_1221-07131-L45_2,86.43244947,63.16676161,27.10766491,0.002339327,0.003452538,0.004090427,74.66098147,58.30790065,31.85129277,835859.625,755224,556617.625
60,Segmentation-grayscale-9_1221-07131-L45_2,88.3891255,58.78045762,31.27059244,0.002433014,0.003512687,0.004098871,74.66098147,55.26190227,35.14872296,839188.625,758489.6875,571792.6875
368,Segmentation-grayscale-1_1239-67599-L45,53.67873329,76.51900547,39.53411668,0.002088952,0.003124676,0.003313304,74.66098147,79.85156145,41.04692545,776171.3125,720966.125,534849.0625
459,Segmentation-grayscale-10_1239-67599-L45,79.11880086,54.87302942,37.26953175,0.002425612,0.003730694,0.004099701,74.66098147,57.56468598,40.56775635,850136.9375,797577.1875,572258.125
45,Segmentation-grayscale-2_1239-67599-L45,68.18108329,62.21461898,36.59782968,0.002282333,0.003432737,0.003830839,74.66098147,65.3260591,40.23922821,831953.625,761408.875,555481.75
501,Segmentation-grayscale-3_1239-67599-L45,76.22408476,55.99904975,37.43029285,0.002511893,0.003809636,0.004121285,74.66098147,60.97702723,40.66511263,849665.625,806935.375,583509.75
481,Segmentation-grayscale-4_1239-67599-L45,68.75829536,60.03559296,38.09955566,0.002422044,0.003569495,0.003952158,74.66098147,63.23729953,40.7098422,839295.25,774430.3125,574709.6875
232,Segmentation-grayscale-5_1239-67599-L45,71.84528424,59.08864007,36.92860595,0.002150086,0.003390516,0.003682074,74.66098147,64.09975709,40.46286716,813316,759295.5,535707.5
671,Segmentation-grayscale-6_1239-67599-L45,69.85447169,59.57019183,37.76951633,0.002260843,0.003373608,0.003768222,74.66098147,61.63540138,40.98114686,818195.9375,753340.3125,553526
582,Segmentation-grayscale-7_1239-67599-L45,76.90051647,55.61770304,37.48078205,0.002407106,0.003735967,0.004037383,74.66098147,61.44533523,40.66497637,842772.75,797713.9375,571451.0625
470,Segmentation-grayscale-8_1239-67599-L45,78.7209955,53.97758822,38.29951176,0.002621409,0.003851933,0.004148351,74.66098147,56.06832953,41.40108156,847194.375,809524.5,599961.125
527,Segmentation-grayscale-9_1239-67599-L45,86.89127681,53.30557139,36.87011349,0.002223936,0.003565619,0.004097561,74.66098147,51.74484624,40.30899273,848277.9375,778002.1875,543746.625
539,Segmentation-grayscale-1_1239-67599-L45_2,77.94009968,60.83313805,32.02254184,0.001965936,0.002852517,0.003381713,74.66098147,62.76445272,35.45868238,756209.625,703504.3125,516696.3438
590,Segmentation-grayscale-10_1239-67599-L45_2,82.60595466,60.60190295,30.49506462,0.00184295,0.002944959,0.003352982,74.66098147,63.33486688,34.50627055,749777.75,724647.5625,494176.6563
280,Segmentation-grayscale-2_1239-67599-L45_2,79.58950944,60.72228614,31.42347179,0.002336229,0.003472701,0.003907652,74.66098147,66.44098346,34.90784344,816601.25,774059.875,562815.625
421,Segmentation-grayscale-3_1239-67599-L45_2,71.04993748,62.43806849,34.42266063,0.002667227,0.003009186,0.004248729,74.66098147,62.34018759,37.76713732,877412.5625,679354.0625,617101.875
138,Segmentation-grayscale-4_1239-67599-L45_2,83.00750528,61.35820326,29.6400899,0.001546898,0.002566867,0.003158385,74.66098147,59.84728807,33.42799952,728243.8125,673763.4375,447421.2188
85,Segmentation-grayscale-5_1239-67599-L45_2,80.91117834,60.42509234,31.21316057,0.001987255,0.003087693,0.003533027,74.66098147,64.46635898,34.9280511,774120.875,737397.875,516470.5
633,Segmentation-grayscale-6_1239-67599-L45_2,75.68788998,62.12870241,31.92596967,0.002489723,0.003610458,0.003967679,74.66098147,71.89912896,35.38123817,828159.5625,783493.5625,583837.875
58,Segmentation-grayscale-7_1239-67599-L45_2,82.06063916,60.63424999,30.62815359,0.001748306,0.002790236,0.003228098,74.66098147,62.0905788,34.56079631,737108.9375,706174.6875,480283.9063
165,Segmentation-grayscale-8_1239-67599-L45_2,75.53461483,61.48294325,32.6033964,0.002505546,0.003589433,0.003868611,74.66098147,75.87393534,35.83723603,814375.1875,777919.875,585351.625
645,Segmentation-grayscale-9_1239-67599-L45_2,80.02054135,60.42115272,31.54422186,0.002099608,0.003168692,0.003657726,74.66098147,65.02612122,34.83543676,788897.25,742452.8125,532430.1875
